city,latitude,longitude,timestamp,aqi,pm2_5,pm10,no2,o3,co,so2,nh3,aqi_category,cluster_id,new_category,bmkg_normalized
Medan,3.5952,98.6722,2026-04-04T08:51:49.898961,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:49.915412,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:49.928113,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:49.938356,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:49.946246,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:49.954718,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:49.961842,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-20T10:02:36.137002,1,9.9,15.24,1.96,48.85,169.1,0.96,0.98,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-20T10:02:36.333247,1,7.57,11.43,1.77,47.6,194.85,0.69,1.27,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-20T10:02:36.521572,1,6.28,12.66,0.27,47.86,86.08,0.42,0.37,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-20T10:02:36.716218,1,1.87,2.66,0.32,11.78,130.1,0.07,1.43,Baik,1,Baru_Baik,Baru_Baik
